"reg","pop"
"Вінницька","1586601"
"Волинська","1039828"
"Дніпропетровська","3222741"
"Донецька","4237488"
"Житомирська","1238122"
"Закарпатська","1258123"
"Запорізька","1735048"
"Івано-Франківська","1378916"
"Київська","1734334"
"Кіровоградська","963552"
"Луганська","2192083"
"Львівська","2531870"
"Миколаївська","1147205"
"Одеська","2384403"
"Полтавська","1423360"
"Рівненська","1162197"
"Сумська","1101763"
"Тернопільська","1057329"
"Харківська","2697600"
"Херсонська","1053247"
"Хмельницька","1282378"
"Черкаська","1228697"
"Чернівецька","907289"
"Чернігівська","1029564"
"Київ","2929029"
